state,locale,entry
Alabama,Auburn,Hundreds of demonstrators held a largely peaceful protest on May 31 in downtown Auburn at Toomer's Corner.
Alabama,Birmingham,"An estimated 1,000 people gathered on May 30 for a rally and march."
Alabama,Dothan,"On May 31, a large crowd gathered peacefully at the Houston County Courthouse, holding signs, chanting, and listening to speakers."
Alabama,Hoover,At least 100 protesters attended a march along U.S. Route 31 to the Hoover Municipal complex on May 30; 20 people were arrested.
Alabama,Huntsville,"Protesters marched through downtown on May 30. On June 1, a protest began at 3:00 pm with speakers, music and an eight-minute moment of silence at the Madison County Courthouse. The white mayor and a black city councilman asked people to ""protest responsibly and peacefully."" The mayor ""took a knee"" and begged the protesters to leave in a responsible manner. The protest officially ended at 8:00 p.m., but some refused to leave the area. An activist leader replied, ""It's not about black response. It's about privilege response."" Police fired tear gas to disperse the crowd."
Alabama,Jacksonville,A group protested downtown on June 1.
Alabama,Mobile,"On May 31, a march starting at Mardi Gras Park looped around the city and returned to the park. A part of the group attempted to block I-10, but they were stopped by police, who blocked the road themselves and later dispersed the crowd with tear gas. A police van window was smashed, but a public safety director distributed his phone number asking them to express their concerns."
Alabama,Montgomery,Hundreds of people protested on the steps of the Alabama State Capitol on May 30.
Alabama,Opelika,A crowd protested downtown on May 30.
Alabama,Troy,About 50 people demonstrated peacefully on May 29 at the square in downtown Troy.
Alaska,Anchorage,"Two peaceful demonstrations were held on May 30. A march, organized by a high school student via Instagram, began at Town Square. About a hundred protestors marched for about 45 minutes while chanting and holding signs. A rally, organized separately and attended by hundreds of people, took place in midtown where pastors and community activists spoke in solidarity for justice."
Alaska,Fairbanks,On May 30 over 400 peaceful protestors took part in a rally and march from Veteran's Memorial Park to Golden Heart Plaza organized by the Fairbanks NAACP and the statewide group Native Movement.
Alaska,Juneau,"About 250 peaceful protestors attended what was planned to be a silent vigil[when?]. The protestors sang and chanted, standing in solidarity with other protests occurring throughout the country."
Arizona,Flagstaff,"On Friday, May 29, approximately 100 protesters gathered at Flagstaff City Hall, then marched to Heritage Square and back. Similar protests occurred on Saturday, May 30."
Arizona,Phoenix,"Phoenix saw demonstrations for four straight nights. Hundreds protested on May 28, with the police using pepper spray and tear gas. Protesters allegedly destroyed windows and doors to the Arizona Federal Theater and a City of Phoenix government building, as well as several other municipal and private businesses and parked cars. Some lit fireworks and fired shots into the air. On May 29 a separate vigil was held outside the Arizona Department of Public Safety in honor of Dion Johnson, a 28-year-old man who was shot and killed by a DPS trooper on May 25. Protests continued for three more nights."
Arizona,Prescott,More than 150 protesters demonstrated in front of the Prescott Valley Police Department. Minor skirmishes with a pro-law enforcement group was reported on May 30.
Arizona,Scottsdale,Hundreds of people protested downtown. Rioters caused millions in damage to the Scottsdale Fashion Square area and 12 arrests were made. No officers were injured.
Arizona,Tucson,"Hundreds of protesters protested in downtown Tucson on May 30. The protests included multiple downtown businesses’ windows being broken as well as a dumpster being set on fire. By the end of the protest, protesters peacefully stood in front of police, who were in full riot gear. It was estimated that rioters caused more than US$200,000 of damage, and at least four arrests were made. Tucson Chief of Police, Chris Magnus, said that many of the people who incited the violence, were not from the area. The following night, more protests occurred. The protest began downtown, and eventually made its way to the University of Arizona campus, where police appeared to push into the crowd of protesters. Eight people were arrested during the second night of protests."
Arizona,Yuma,"On May 30, over 150 activists displayed signs at a busy intersection and chanted ""I Can't Breathe""."
Arkansas,Bentonville,"On June 1, protesters gathered at the Bentonville Town Square; the protest was originally postponed from the original date after receiving online threats, however, nearly a hundred residents still showed up to protest. The Bentonville Police Department began releasing tear gas and firing beanbag rounds at the protesters after reportedly being struck by water bottles and having ""threatening language"" thrown their way in the form of ""fuck the police""."
Arkansas,Conway,"On May 31, protestors in Conway marched from downtown Conway towards the Faulkner County Courthouse. The protests eventually spilled onto Interstate 40 at the exit on Oak Street. Authorities made arrests and used tear gas to remove protestors from the interstate. Protestors largely remained on Oak Street close to the interstate for the remainder of the night."
Arkansas,Fayetteville,Dozens of protesters demonstrated peacefully at the corner of College Avenue and Lafayette Street from 1 to 6 p.m. on May 30.
Arkansas,Fort Smith,"Hundreds of protesters were on Rogers Avenue and Garrison Avenue May 31, 2020."
Arkansas,Jonesboro,"On May 31st and June 1st, hundreds of protesters demonstrated in Jonesboro, shutting down roads."
Arkansas,Little Rock,"On May 30 about 400 to 500 people took part in a peaceful protest on the steps of the Arkansas State Capitol. During the evening, protesters clashed with police as protesters shot fireworks at police, police fired tear gas at protesters, some windows were broken in businesses across the street, and Interstate 630 was briefly blocked on two occasions. A new mural was also added on West 7th Street."
Arkansas,Texarkana,"On Saturday afternoon, May 30, 70 to 100 protesters gathered peacefully at the State Line Post Office to listen to speeches, then marched to downtown before returning northward to a parking lot at State Line and Arkansas Boulevard, where the crowd grew and passing motorists honked in support.(Note: this entry is also listed in the Texas section below.)"
California,Aspen,"Dozens of residents attended a candle-light vigil on May 30. Participants repeated the words ""I can't breathe"" for nine minutes, the length of time that Derek Chavin's knee was on George Floyd's neck."
California,Boulder,"About 50 people organized a modified sit-in style protest where demonstrators peacefully took a knee for one hour on May 29. Hundreds walked three miles through a ""Boulder in Solidarity"" march on May 30."
California,Colorado Springs,About 300 protesters demonstrated by lying on their stomachs in front of City Hall on May 30. Dozens were arrested on May 30. More protests took place on May 31.
